0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001,0.001,0.003,0.003,0.003,0.004,0.005
0.005,0.005,0.010,0.100,0.050,0.200,0.500,0.770,0.870,0.970
0.007,0.007,0.007,0.008,0.009,0.010,0.010,0.070,0.400,0.430
0.580,0.790,0.930,0.960,1.000,0.009,0.009,0.009,0.012,0.015
0.010,0.020,0.280,0.600,0.640,0.750,0.910,0.970,0.980,1.000
0.014,0.014,0.014,0.015,0.016,0.030,0.060,0.500,0.700,0.770
0.840,0.950,0.970,1.000,1.000,0.017,0.017,0.017,0.020,0.022
0.060,0.100,0.620,0.780,0.840,0.880,0.950,1.000,1.000,1.000
0.030,0.030,0.024,0.022,0.032,0.062,0.200,0.680,0.830,0.870
0.900,0.950,1.000,1.000,1.000,0.025,0.025,0.025,0.036,0.043
0.130,0.270,0.740,0.860,0.890,0.920,1.000,1.000,1.000,1.000
0.027,0.027,0.027,0.040,0.052,0.200,0.400,0.780,0.880,0.900
0.940,1.000,1.000,1.000,1.000,0.030,0.030,0.030,0.047,0.064
0.250,0.500,0.800,0.900,0.910,0.950,1.000,1.000,1.000,1.000
0.040,0.040,0.033,0.037,0.068,0.240,0.550,0.800,0.900,0.910
0.950,1.000,1.000,1.000,1.000,0.035,0.035,0.035,0.055,0.079
0.290,0.580,0.800,0.900,0.910,0.950,1.000,1.000,1.000,1.000
0.037,0.037,0.037,0.062,0.082,0.290,0.590,0.780,0.900,0.910
0.950,1.000,1.000,1.000,1.000,0.037,0.037,0.037,0.060,0.080
0.290,0.580,0.770,0.890,0.910,0.950,1.000,1.000,1.000,1.000
0.037,0.037,0.037,0.041,0.075,0.250,0.540,0.760,0.880,0.920
0.950,1.000,1.000,1.000,1.000,0.037,0.037,0.037,0.052,0.067
0.250,0.510,0.770,0.880,0.930,0.970,1.000,1.000,1.000,1.000
0.037,0.037,0.037,0.047,0.057,0.250,0.490,0.770,0.890,0.950
1.000,1.000,1.000,1.000,1.000,0.036,0.036,0.036,0.042,0.048
0.230,0.470,0.780,0.920,1.000,1.020,1.020,1.020,1.020,1.020
0.040,0.040,0.035,0.033,0.040,0.112,0.450,0.790,1.010,1.030
1.040,1.040,1.040,1.040,1.040,0.033,0.033,0.033,0.033,0.033
0.119,0.470,0.950,1.300,1.700,2.300,2.300,2.300,2.300,2.300
0.027,0.027,0.027,0.027,0.027,0.125,0.520,1.400,2.300,3.000
4.000,4.000,4.000,4.000,4.000,0,0,0,0,0
