0.97 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
0.87 0.96 0.98 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
0.77 0.93 0.97 0.97 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
0.5 0.79 0.91 0.95 0.95 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
0.2 0.58 0.75 0.84 0.88 0.9 0.92 0.94 0.95 0.95 0.95 0.95 0.95 0.95 0.97 1 1.02 1.04 2.3 4
0.05 0.43 0.64 0.77 0.84 0.87 0.89 0.9 0.91 0.91 0.91 0.91 0.91 0.92 0.93 0.95 1 1.03 1.7 3
0.005 0.4 0.6 0.7 0.78 0.83 0.86 0.88 0.9 0.9 0.9 0.9 0.89 0.88 0.88 0.89 0.92 1.01 1.3 2.3
0.001 0.07 0.28 0.5 0.62 0.68 0.74 0.78 0.8 0.8 0.8 0.78 0.77 0.76 0.77 0.77 0.78 0.79 0.95 1.4
0.0001 0.002 0.02 0.04 0.085 0.17 0.27 0.4 0.5 0.55 0.58 0.59 0.58 0.54 0.51 0.49 0.47 0.45 0.47 0.52
0.0001 0.0001 0.005 0.016 0.022 0.03 0.043 0.052 0.064 0.072 0.079 0.082 0.08 0.076 0.067 0.057 0.048 0.04 0.033 0.027
0.0001 0.0001 0.0001 0.014 0.017 0.019 0.022 0.027 0.03 0.033 0.035 0.037 0.038 0.038 0.037 0.036 0.035 0.032 0.029 0.027
